"BsmtFin.SF.1","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Mas.Vnr.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.Type.2","NOM.Alley","Fireplace.Qu","NOM.Garage.Type","NOM.Garage.Year","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","NOM.Pool","Fence","Lot.Frontage","Lot.Area","NOM.MS.SubClass","NOM.MS.Zoning","NOM.Street","NOM.Lot.Shape","NOM.Land.Contour","NOM.Lot.Config","NOM.Land.Slope","NOM.Neighborhood","NOM.Condition.1","NOM.Bldg.Type","NOM.House.Style","Overall.Qual","Overall.Cond","NOM.Year.Built","NOM.Year.Remod.Add","NOM.Roof.Style","NOM.Roof.Matl","NOM.Exterior.1st","NOM.Exterior.2nd","NOM.Mas.Vnr.Type","Exter.Qual","Exter.Cond","NOM.Foundation","NOM.Heating","Heating.QC","NOM.Central.Air","NOM.Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","NOM.Functional","Fireplaces","NOM.Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Mo.Sold","Yr.Sold","NOM.Sale.Type","NOM.Sale.Condition","SalePrice"
468,144,270,882,0,0,0,2,2,0,3,2,"None",0,"Attchd","Bef.1966",1,1,730,2,2,"yes",2,80,11622,20,"RH","Pave","Reg","Lvl","Inside","Gtl","NAmes","NotNorm","1Fam","1Story",5,6,"Bet.1959.1987","Bet.1956.1986","Gable","CompShg","VinylSd","VinylSd","None",2,2,"CBlock","GasA",2,"Y","Standard",896,0,0,896,1,0,2,1,2,5,"Typ",0,"Paved",140,0,0,0,120,6,2010,"WD ","Normal",105000
923,0,406,1329,108,0,0,2,2,0,5,1,"None",0,"Attchd","Bef.1966",1,1,312,2,2,"yes",0,81,14267,20,"RL","Pave","IR1","Lvl","Corner","Gtl","NAmes","Norm","1Fam","1Story",6,6,"Bef.1959","Bet.1956.1986","Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",2,2,"CBlock","GasA",2,"Y","Standard",1329,0,0,1329,1,1,3,1,3,6,"Typ",0,"Paved",393,36,0,0,0,6,2010,"WD ","Normal",172000
791,0,137,928,0,0,0,3,2,0,6,1,"None",3,"Attchd","Bet.1992.2005",4,2,482,2,2,"yes",2,74,13830,60,"RL","Pave","IR1","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","2Story",5,5,"Bet.1987.2005","Bet.1986.2006","Gable","CompShg","VinylSd","VinylSd","None",2,2,"PConc","GasA",3,"Y","Standard",928,701,0,1629,2,1,3,1,2,6,"Typ",1,"Paved",212,34,0,0,0,3,2010,"WD ","Normal",189900
263,0,1017,1280,0,0,0,3,2,0,5,1,"None",0,"Attchd","Bet.1992.2005",2,2,506,2,2,"yes",0,43,5005,120,"RL","Pave","IR1","HLS","Inside","Gtl","StoneBr","Norm","TwnhsE","1Story",8,5,"Bet.1987.2005","Bet.1986.2006","Gable","CompShg","HdBoard","HdBoard","None",3,2,"PConc","GasA",4,"Y","Standard",1280,0,0,1280,2,0,2,1,3,5,"Typ",0,"Paved",0,82,0,0,144,1,2010,"WD ","Normal",191500
1180,0,415,1595,0,1,0,3,2,0,6,1,"None",3,"Attchd","Bet.1992.2005",2,2,608,2,2,"yes",0,39,5389,120,"RL","Pave","IR1","Lvl","Inside","Gtl","StoneBr","Norm","TwnhsE","1Story",8,5,"Bet.1987.2005","Bet.1986.2006","Gable","CompShg","CemntBd","CmentBd","None",3,2,"PConc","GasA",4,"Y","Standard",1616,0,0,1616,2,0,2,1,3,5,"Typ",1,"Paved",237,152,0,0,0,3,2010,"WD ","Normal",236500
0,0,994,994,0,0,0,2,2,0,1,1,"None",3,"Attchd","Bet.1992.2005",4,2,442,2,2,"yes",0,60,7500,60,"RL","Pave","Reg","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","2Story",7,5,"Bet.1987.2005","Bet.1986.2006","Gable","CompShg","VinylSd","VinylSd","None",2,2,"PConc","GasA",3,"Y","Standard",1028,776,0,1804,2,1,3,1,3,7,"Typ",1,"Paved",140,60,0,0,0,6,2010,"WD ","Normal",189000
935,0,233,1168,0,1,0,3,2,0,5,1,"None",0,"Attchd","Bet.1992.2005",4,2,420,2,2,"yes",3,66.1339890461191,7980,20,"RL","Pave","IR1","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","1Story",6,7,"Bet.1987.2005","Aft.2006","Gable","CompShg","HdBoard","HdBoard","None",2,3,"PConc","GasA",4,"Y","Standard",1187,0,0,1187,2,0,3,1,2,6,"Typ",0,"Paved",483,21,0,0,0,3,2010,"WD ","Normal",185000
0,0,789,789,0,0,0,3,2,0,1,1,"None",4,"Attchd","Bet.1992.2005",4,2,393,2,2,"yes",0,63,8402,60,"RL","Pave","IR1","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","2Story",6,5,"Bet.1987.2005","Bet.1986.2006","Gable","CompShg","VinylSd","VinylSd","None",2,2,"PConc","GasA",3,"Y","Standard",789,676,0,1465,2,1,3,1,2,7,"Typ",1,"Paved",0,75,0,0,0,5,2010,"WD ","Normal",180400
368,1120,0,1488,0,1,0,3,2,2,6,4,"None",0,"Attchd","Bet.1966.1992",2,2,528,2,2,"yes",0,64.0611068707389,6820,120,"RL","Pave","IR1","Lvl","Corner","Gtl","StoneBr","Norm","TwnhsE","1Story",8,5,"Bet.1959.1987","Bet.1956.1986","Gable","CompShg","HdBoard","HdBoard","None",3,2,"PConc","GasA",2,"Y","Standard",1502,0,0,1502,1,1,1,1,3,4,"Typ",0,"Paved",0,54,0,0,140,6,2010,"WD ","Normal",212000
1445,0,411,1856,350,1,0,4,2,2,6,1,"None",5,"Attchd","Aft.2005",4,3,834,2,2,"yes",0,88,11394,20,"RL","Pave","Reg","Lvl","Corner","Gtl","StoneBr","Norm","1Fam","1Story",9,2,"Aft.2005","Aft.2006","Hip","CompShg","VinylSd","VinylSd","Stone",3,2,"PConc","GasA",4,"Y","Standard",1856,0,0,1856,1,1,1,1,4,8,"Typ",1,"Paved",113,0,0,0,0,6,2010,"New","Partial",394432
