"Order","PID","MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Street","Alley","Lot.Shape","Land.Contour","Utilities","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.Type.2","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Yr.Blt","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Pool.QC","Fence","Misc.Feature","Misc.Val","Mo.Sold","Yr.Sold","Sale.Type","Sale.Condition","SalePrice"
1,526350040,20,"RH",80,11622,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Feedr","Norm","1Fam","1Story",5,6,1961,1961,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","Rec",468,"LwQ",144,270,882,"GasA","TA","Y","SBrkr",896,0,0,896,0,0,1,0,2,1,"TA",5,"Typ",0,NA,"Attchd",1961,"Unf",1,730,"TA","TA","Y",140,0,0,0,120,0,NA,"MnPrv",NA,0,6,2010,"WD ","Normal",105000
2,526351010,20,"RL",81,14267,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,6,1958,1958,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",108,"TA","TA","CBlock","TA","TA","No","ALQ",923,"Unf",0,406,1329,"GasA","TA","Y","SBrkr",1329,0,0,1329,0,0,1,1,3,1,"Gd",6,"Typ",0,NA,"Attchd",1958,"Unf",1,312,"TA","TA","Y",393,36,0,0,0,0,NA,NA,"Gar2",12500,6,2010,"WD ","Normal",172000
3,527105010,60,"RL",74,13830,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",5,5,1997,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",791,"Unf",0,137,928,"GasA","Gd","Y","SBrkr",928,701,0,1629,0,0,2,1,3,1,"TA",6,"Typ",1,"TA","Attchd",1997,"Fin",2,482,"TA","TA","Y",212,34,0,0,0,0,NA,"MnPrv",NA,0,3,2010,"WD ","Normal",189900
4,527145080,120,"RL",43,5005,"Pave",NA,"IR1","HLS","AllPub","Inside","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",8,5,1992,1992,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","TA","No","ALQ",263,"Unf",0,1017,1280,"GasA","Ex","Y","SBrkr",1280,0,0,1280,0,0,2,0,2,1,"Gd",5,"Typ",0,NA,"Attchd",1992,"RFn",2,506,"TA","TA","Y",0,82,0,0,144,0,NA,NA,NA,0,1,2010,"WD ","Normal",191500
5,527146030,120,"RL",39,5389,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",8,5,1995,1996,"Gable","CompShg","CemntBd","CmentBd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",1180,"Unf",0,415,1595,"GasA","Ex","Y","SBrkr",1616,0,0,1616,1,0,2,0,2,1,"Gd",5,"Typ",1,"TA","Attchd",1995,"RFn",2,608,"TA","TA","Y",237,152,0,0,0,0,NA,NA,NA,0,3,2010,"WD ","Normal",236500
6,527162130,60,"RL",60,7500,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,994,994,"GasA","Gd","Y","SBrkr",1028,776,0,1804,0,0,2,1,3,1,"Gd",7,"Typ",1,"TA","Attchd",1999,"Fin",2,442,"TA","TA","Y",140,60,0,0,0,0,NA,NA,NA,0,6,2010,"WD ","Normal",189000
7,527165230,20,"RL",NA,7980,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",6,7,1992,2007,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","Gd","PConc","Gd","TA","No","ALQ",935,"Unf",0,233,1168,"GasA","Ex","Y","SBrkr",1187,0,0,1187,1,0,2,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1992,"Fin",2,420,"TA","TA","Y",483,21,0,0,0,0,NA,"GdPrv","Shed",500,3,2010,"WD ","Normal",185000
8,527166040,60,"RL",63,8402,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,789,789,"GasA","Gd","Y","SBrkr",789,676,0,1465,0,0,2,1,3,1,"TA",7,"Typ",1,"Gd","Attchd",1998,"Fin",2,393,"TA","TA","Y",0,75,0,0,0,0,NA,NA,NA,0,5,2010,"WD ","Normal",180400
9,527182190,120,"RL",NA,6820,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",8,5,1985,1985,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",368,"BLQ",1120,0,1488,"GasA","TA","Y","SBrkr",1502,0,0,1502,1,0,1,1,1,1,"Gd",4,"Typ",0,NA,"Attchd",1985,"RFn",2,528,"TA","TA","Y",0,54,0,0,140,0,NA,NA,NA,0,6,2010,"WD ","Normal",212000
10,527258010,20,"RL",88,11394,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","StoneBr","Norm","Norm","1Fam","1Story",9,2,2010,2010,"Hip","CompShg","VinylSd","VinylSd","Stone",350,"Gd","TA","PConc","Ex","TA","Av","GLQ",1445,"Unf",0,411,1856,"GasA","Ex","Y","SBrkr",1856,0,0,1856,1,0,1,1,1,1,"Ex",8,"Typ",1,"Ex","Attchd",2010,"Fin",3,834,"TA","TA","Y",113,0,0,0,0,0,NA,NA,NA,0,6,2010,"New","Partial",394432
