"season","holiday","workingday","weather","temp","atemp","humidity","windspeed","hour","day","wday","month","year","hour.cut.reg","hour.cut.cas","temp.reg","temp.cas","humidity.reg","humidity.cas","day_type","weekend","mean.reg.weekend.hour","mean.cas.weekend.hour","registered","casual","count"
"spring","no","no","a",9.84,14.395,81,9.60426337060802,0,1,"sab",1,2011,"a","a","a","a","a","a","weekend","yes",4.27120674822962,2.58630249526568,13,3,16
"spring","no","no","a",9.02,13.635,80,9.36780858661281,1,1,"sab",1,2011,"a","a","a","a","a","a","weekend","yes",4.02493289736933,2.38941563683797,32,8,40
"spring","no","no","a",9.02,13.635,80,9.36780858661281,2,1,"sab",1,2011,"a","a","a","a","a","a","weekend","yes",3.73707340236085,2.22232808554837,27,5,32
"spring","no","no","a",9.84,14.395,75,9.48499680479121,3,1,"sab",1,2011,"a","a","a","a","a","a","weekend","yes",2.92619360984788,1.77450519912476,10,3,13
"spring","no","no","a",9.84,14.395,75,9.48499680479121,4,1,"sab",1,2011,"a","a","a","a","a","a","weekend","yes",1.84803879553313,0.965545445598087,1,0,1
"spring","no","no","b",9.84,12.88,75,6.0032,5,1,"sab",1,2011,"a","a","a","a","a","a","weekend","yes",1.91600531081171,0.783716363939509,1,0,1
"spring","no","no","a",9.02,13.635,80,9.36780858661281,6,1,"sab",1,2011,"a","a","a","a","a","a","weekend","yes",2.44259562500674,1.24350530187104,0,2,2
"spring","no","no","a",8.2,12.88,86,8.63795788761685,7,1,"sab",1,2011,"d","a","a","a","a","a","weekend","yes",3.30957935112704,1.88085692983932,2,1,3
"spring","no","no","a",9.84,14.395,75,9.48499680479121,8,1,"sab",1,2011,"e","b","a","a","a","a","weekend","yes",4.22230334623832,2.63974916072435,7,1,8
"spring","no","no","a",13.12,17.425,76,11.2691684591213,9,1,"sab",1,2011,"c","b","b","a","a","a","weekend","yes",4.70278808582136,3.46450257061083,6,8,14
"spring","no","no","a",15.58,19.695,76,16.9979,10,1,"sab",1,2011,"c","d","b","b","a","a","weekend","yes",5.11393686886646,4.05991777540256,24,12,36
"spring","no","no","a",14.76,16.665,81,19.0012,11,1,"sab",1,2011,"c","d","b","a","a","a","weekend","yes",5.27606112224225,4.42402744062687,30,26,56
"spring","no","no","a",17.22,21.21,77,19.0012,12,1,"sab",1,2011,"c","d","b","b","a","a","weekend","yes",5.43234444676255,4.63121570084496,55,29,84
"spring","no","no","b",18.86,22.725,72,19.9995,13,1,"sab",1,2011,"c","d","b","b","a","b","weekend","yes",5.41288636100943,4.72133644710707,47,47,94
"spring","no","no","b",18.86,22.725,72,19.0012,14,1,"sab",1,2011,"c","d","b","b","a","b","weekend","yes",5.36202182277836,4.73389687540166,71,35,106
"spring","no","no","b",18.04,21.97,77,19.9995,15,1,"sab",1,2011,"c","d","b","b","a","a","weekend","yes",5.35619324599972,4.72644169074784,70,40,110
"spring","no","no","b",17.22,21.21,82,19.9995,16,1,"sab",1,2011,"c","d","b","b","a","a","weekend","yes",5.35010549344817,4.63927239216257,52,41,93
"spring","no","no","b",18.04,21.97,82,19.0012,17,1,"sab",1,2011,"g","d","b","b","a","a","weekend","yes",5.26093792389584,4.40112566004952,52,15,67
"spring","no","no","c",17.22,21.21,88,16.9979,18,1,"sab",1,2011,"g","d","b","b","a","a","weekend","yes",5.16654258810916,4.03766925405496,26,9,35
"spring","no","no","c",17.22,21.21,88,16.9979,19,1,"sab",1,2011,"f","d","b","b","a","a","weekend","yes",4.99507422410298,3.76148488280597,31,6,37
"spring","no","no","b",16.4,20.455,87,16.9979,20,1,"sab",1,2011,"f","c","b","b","a","a","weekend","yes",4.7370517827147,3.47822043920249,25,11,36
"spring","no","no","b",16.4,20.455,87,12.998,21,1,"sab",1,2011,"b","c","b","b","a","a","weekend","yes",4.54953493227894,3.22148400739196,31,3,34
"spring","no","no","b",16.4,20.455,94,15.0013,22,1,"sab",1,2011,"b","c","b","b","a","a","weekend","yes",4.37723648795928,2.95584143743005,17,11,28
"spring","no","no","b",18.86,22.725,88,19.9995,23,1,"sab",1,2011,"b","c","b","b","a","a","weekend","yes",4.0965937268669,2.66379723803738,24,15,39
"spring","no","no","b",18.86,22.725,88,19.9995,0,2,"dom",1,2011,"a","a","b","b","a","a","weekend","yes",4.27120674822962,2.58630249526568,13,4,17
"spring","no","no","b",18.04,21.97,94,16.9979,1,2,"dom",1,2011,"a","a","b","b","a","a","weekend","yes",4.02493289736933,2.38941563683797,16,1,17
"spring","no","no","b",17.22,21.21,100,19.0012,2,2,"dom",1,2011,"a","a","b","b","a","a","weekend","yes",3.73707340236085,2.22232808554837,8,1,9
"spring","no","no","b",18.86,22.725,94,12.998,3,2,"dom",1,2011,"a","a","b","b","a","a","weekend","yes",2.92619360984788,1.77450519912476,4,2,6
"spring","no","no","b",18.86,22.725,94,12.998,4,2,"dom",1,2011,"a","a","b","b","a","a","weekend","yes",1.84803879553313,0.965545445598087,1,2,3
"spring","no","no","c",17.22,21.21,77,19.9995,6,2,"dom",1,2011,"a","a","b","b","a","a","weekend","yes",2.44259562500674,1.24350530187104,2,0,2
"spring","no","no","b",16.4,20.455,76,12.998,7,2,"dom",1,2011,"d","a","b","b","a","a","weekend","yes",3.30957935112704,1.88085692983932,1,0,1
"spring","no","no","c",16.4,20.455,71,15.0013,8,2,"dom",1,2011,"e","b","b","b","a","b","weekend","yes",4.22230334623832,2.63974916072435,8,0,8
"spring","no","no","b",15.58,19.695,76,15.0013,9,2,"dom",1,2011,"c","b","b","b","a","a","weekend","yes",4.70278808582136,3.46450257061083,19,1,20
"spring","no","no","b",14.76,17.425,81,15.0013,10,2,"dom",1,2011,"c","d","b","a","a","a","weekend","yes",5.11393686886646,4.05991777540256,46,7,53
"spring","no","no","b",14.76,16.665,71,16.9979,11,2,"dom",1,2011,"c","d","b","a","a","b","weekend","yes",5.27606112224225,4.42402744062687,54,16,70
"spring","no","no","b",14.76,16.665,66,19.9995,12,2,"dom",1,2011,"c","d","b","a","b","b","weekend","yes",5.43234444676255,4.63121570084496,73,20,93
"spring","no","no","b",14.76,17.425,66,8.9981,13,2,"dom",1,2011,"c","d","b","a","b","b","weekend","yes",5.41288636100943,4.72133644710707,64,11,75
"spring","no","no","c",14.76,17.425,76,12.998,14,2,"dom",1,2011,"c","d","b","a","a","a","weekend","yes",5.36202182277836,4.73389687540166,55,4,59
"spring","no","no","c",13.94,16.665,81,11.0014,15,2,"dom",1,2011,"c","d","b","a","a","a","weekend","yes",5.35619324599972,4.72644169074784,55,19,74
"spring","no","no","c",13.94,16.665,71,11.0014,16,2,"dom",1,2011,"c","d","b","a","a","b","weekend","yes",5.35010549344817,4.63927239216257,67,9,76
"spring","no","no","a",13.94,16.665,57,12.998,17,2,"dom",1,2011,"g","d","b","a","b","b","weekend","yes",5.26093792389584,4.40112566004952,58,7,65
"spring","no","no","b",14.76,16.665,46,22.0028,18,2,"dom",1,2011,"g","d","b","a","b","c","weekend","yes",5.16654258810916,4.03766925405496,43,10,53
"spring","no","no","a",13.12,14.395,42,30.0026,19,2,"dom",1,2011,"f","d","b","a","c","c","weekend","yes",4.99507422410298,3.76148488280597,29,1,30
"spring","no","no","a",12.3,13.635,39,23.9994,20,2,"dom",1,2011,"f","c","a","a","c","d","weekend","yes",4.7370517827147,3.47822043920249,17,5,22
"spring","no","no","a",10.66,11.365,44,22.0028,21,2,"dom",1,2011,"b","c","a","a","b","c","weekend","yes",4.54953493227894,3.22148400739196,20,11,31
"spring","no","no","a",9.84,10.605,44,19.9995,22,2,"dom",1,2011,"b","c","a","a","b","c","weekend","yes",4.37723648795928,2.95584143743005,9,0,9
"spring","no","no","a",9.02,11.365,47,11.0014,23,2,"dom",1,2011,"b","c","a","a","b","c","weekend","yes",4.0965937268669,2.66379723803738,8,0,8
"spring","no","yes","a",9.02,9.85,44,23.9994,0,3,"lun",1,2011,"a","a","a","a","b","c","working day","no",3.24368402671511,1.73071483706548,5,0,5
"spring","no","yes","a",8.2,8.335,44,27.9993,1,3,"lun",1,2011,"a","a","a","a","b","c","working day","no",2.43844549324037,1.16261876258558,2,0,2
"spring","no","yes","a",6.56,6.82,47,26.0027,4,3,"lun",1,2011,"a","a","a","a","b","c","working day","no",1.59382125666333,0.414755945829387,1,0,1
"spring","no","yes","a",6.56,6.82,47,19.0012,5,3,"lun",1,2011,"a","a","a","a","b","c","working day","no",2.99860424833716,0.640204399963474,3,0,3
"spring","no","yes","a",5.74,5.305,50,26.0027,6,3,"lun",1,2011,"a","a","a","a","b","c","working day","no",4.41969810691493,1.39923767451232,30,0,30
"spring","no","yes","a",5.74,6.82,50,12.998,7,3,"lun",1,2011,"d","a","a","a","b","c","working day","no",5.44272001646284,2.27990719462834,63,1,64
"spring","no","yes","a",5.74,6.06,50,19.0012,8,3,"lun",1,2011,"e","b","a","a","b","c","working day","no",5.99083958313721,2.93306003819195,153,1,154
"spring","no","yes","a",6.56,6.82,43,26.0027,9,3,"lun",1,2011,"c","b","a","a","c","c","working day","no",5.29970216927496,2.97956429774292,81,7,88
"spring","no","yes","a",7.38,8.335,43,16.9979,10,3,"lun",1,2011,"c","d","a","a","c","c","working day","no",4.57535940363526,3.13598383725972,33,11,44
"spring","no","yes","a",8.2,9.09,40,22.0028,11,3,"lun",1,2011,"c","d","a","a","c","c","working day","no",4.70589104291752,3.33890140330495,41,10,51
"spring","no","yes","a",9.02,10.605,35,19.9995,12,3,"lun",1,2011,"c","d","a","a","c","d","working day","no",4.9764439946114,3.43075198854466,48,13,61
"spring","no","yes","a",9.84,10.605,35,19.0012,13,3,"lun",1,2011,"c","d","a","a","c","d","working day","no",4.95959927590778,3.4829244477865,53,8,61
