"male","essay_link","essay_length","Class","tech","technology","math","computer","geek","science","fixing","climbing","matrix","electronic","internet","skiing","solving","nerdy","board","brain","shawshank","figuring","firefly","company","build","hobbies","golf","card","occasionally","guide","lists","section","recent","awesome","law","lol","justice","im","studying","animals","political","artist","spiritual","student","tattoos","health","education1","romance","dont","adult","teaching","haha","ipod","native","baseball","major","lover","school","psychology","loves","loyal","nyc","singing","kids","offspring_A","pets_A","atheist","smoke","single","town_A","SV","rel_imp","sign_imp","age_A","age_dummy","body_type_A","diet_A","drinks_A","education_A","phdYN","educ_dummy1","educ_dummy2","height_A","income100000","UnionDummy"
"m","no",6.21260609575152,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","missing","missing","31","yes","athletic","diet_missing","socially","university","no","no","yes","70","no","no"
"m","no",7.28276117960559,"other","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","kids_missing","likes_animals","no","altro","yes","medium","no","missing","1","36","yes","athletic","vegetarian","socially","masters_program","no","no","yes","65","no","no"
"m","no",6.85856503479136,"other","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","yes","yes","no","no","no","no","no","doesnt_have_kids","pets_missing","no","altro","yes","san_francisco","no","missing","missing","23","no","a_little_extra","diet_missing","rarely","other","no","yes","no","74","no","no"
"f","no",7.49276030092238,"other","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","missing","missing","38","yes","fit","diet_missing","socially","masters_program","no","no","yes","67","no","yes"
"f","no",5.17614973257383,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","1","0","40-44","no","average","diet_missing","socially","university","no","no","yes","66","no","no"
"m","no",7.70391020961631,"stem","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","medium","no","0","0","34","yes","average","diet_missing","socially","university","no","no","yes","71","no","no"
"m","no",6.82762923450285,"stem","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","medium","no","missing","missing","22","no","body_type_missing","vegetarian","often","other","no","yes","no","71","no","yes"
"m","no",6.99025650049388,"stem","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","0","0","23","no","thin","anything","socially","university","no","no","yes","67","no","no"
"f","no",7.51588908521513,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","medium","no","missing","missing","30","yes","average","anything","socially","university","no","no","yes","61-","no","no"
"f","no",8.24931374626064,"other","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","doesnt_want","pets_missing","no","altro","yes","san_francisco","no","missing","0","35","yes","thin","anything","often","university","no","no","yes","64","no","yes"
