"age","body_type","diet","drinks","drugs","education","height","income","last_online","offspring","orientation","pets","religion","sign","smokes","status","male","where_town","religion_modifer","sign_modifer","asian","black","hispanic_latin","indian","middle_eastern","native_american","pacific_islander","white","essay_link","essay_length","tech","technology","math","computer","geek","science","fixing","climbing","matrix","electronic","internet","skiing","solving","nerdy","board","brain","shawshank","figuring","firefly","company","build","hobbies","golf","card","occasionally","guide","lists","section","recent","awesome","law","lol","justice","im","studying","animals","political","artist","spiritual","student","tattoos","health","education1","romance","dont","adult","teaching","haha","ipod","native","baseball","major","lover","school","psychology","loves","loyal","nyc","singing","kids"
25,"average","mostly_anything","socially","drugs_missing","graduated_from_college_university",70,"missing",2,"doesnt_have_kids","straight","likes_dogs_and_likes_cats","religion_missing","gemini","sometimes","single",1,"san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,7.30854279753919,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,"average","mostly_anything","socially","never","working_on_college_university",73,"missing",13,"kids_missing","straight","likes_dogs_and_likes_cats","religion_missing","sign_missing","no","single",1,"san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,1,8.17329343896623,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
46,"fit","anything","socially","never","graduated_from_masters_program",69,"inc70000",1,"has_a_kid","straight","pets_missing","agnosticism","cancer","no","single",1,"oakland","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,6.62406522779989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
39,"average","anything","socially","never","graduated_from_law_school",65,"missing",23,"kids_missing","straight","likes_dogs","religion_missing","sign_missing","no","single",0,"san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,6.92853781816467,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,"body_type_missing","diet_missing","socially","drugs_missing","graduated_from_college_university",64,"missing",61,"kids_missing","straight","pets_missing","catholicism","cancer","no","single",0,"pinole","but_not_too_serious_about_it","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,6.99301512293296,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,"rather_not_say","diet_missing","socially","never","graduated_from_college_university",65,"missing",28,"kids_missing","straight","pets_missing","catholicism","aries","no","single",0,"san_mateo","but_not_too_serious_about_it","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,7.3185395485679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"thin","diet_missing","very_often","never","ed_missing",69,"inc40000",7,"kids_missing","gay","likes_dogs_and_has_cats","religion_missing","virgo","trying_to_quit","single",1,"san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,8.71784570489492,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
33,"average","mostly_anything","socially","drugs_missing","graduated_from_masters_program",74,"missing",6,"kids_missing","straight","likes_dogs","religion_missing","sign_missing","no","single",1,"san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,7.78447323573647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"thin","diet_missing","socially","never","graduated_from_masters_program",70,"missing",0,"doesnt_want_kids","straight","pets_missing","religion_missing","leo","no","single",1,"oakland","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,7.83439230291044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"a_little_extra","mostly_anything","socially","never","graduated_from_two_year_college",71,"missing",179,"has_a_kid","straight","likes_dogs_and_likes_cats","christianity","cancer","no","single",1,"san_leandro","but_not_too_serious_about_it","sign_mod_missing",0,0,0,0,0,0,0,0,0,5.08759633523238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"average","mostly_vegetarian","socially","never","working_on_masters_program",65,"missing",39,"doesnt_have_kids_but_wants_them","straight","pets_missing","judaism","aries","no","single",0,"oakland","and_somewhat_serious_about_it","sign_mod_missing",0,0,0,0,0,0,0,0,0,8.46379241468912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
39,"average","anything","drinks_missing","drugs_missing","ed_missing",70,"missing",186,"kids_missing","bisexual","likes_cats","religion_missing","sign_missing","smokes_missing","single",1,"san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,1,4.79579054559674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"fit","mostly_anything","often","never","graduated_from_college_university",70,"missing",1,"doesnt_want_kids","straight","likes_dogs_and_dislikes_cats","christianity","cancer","no","single",1,"san_francisco","religion_mod_missing","but_it_doesnt_matter",0,0,0,0,0,0,0,0,1,8.60721669406383,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
28,"athletic","diet_missing","socially","drugs_missing","graduated_from_college_university",69,"inc100000",32,"kids_missing","straight","likes_dogs","religion_missing","pisces","smokes_missing","single",1,"san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,6.8134445995109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"average","mostly_anything","rarely","never","graduated_from_college_university",60,"missing",2,"kids_missing","straight","pets_missing","catholicism","libra","no","single",0,"daly_city","religion_mod_missing","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,7.66199755890189,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
33,"thin","mostly_vegetarian","socially","never","graduated_from_college_university",67,"missing",2,"doesnt_have_kids_but_might_want_them","straight","has_dogs_and_likes_cats","agnosticism","libra","no","single",0,"san_francisco","and_laughing_about_it","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,8.27435700675629,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,"fit","diet_missing","socially","never","graduated_from_ph_d_program",66,"missing",1,"doesnt_have_kids_but_might_want_them","straight","likes_dogs","judaism","sign_missing","no","single",0,"san_francisco","but_not_too_serious_about_it","sign_mod_missing",0,0,0,0,0,0,0,0,0,7.53796265976821,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,"skinny","mostly_anything","socially","never","graduated_from_college_university",64,"inc80000",1,"doesnt_have_kids","straight","pets_missing","christianity","sagittarius","no","single",0,"san_francisco","religion_mod_missing","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,6.59304453414244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"body_type_missing","strictly_anything","socially","sometimes","graduated_from_college_university",72,"missing",2,"kids_missing","straight","pets_missing","judaism","gemini","no","single",1,"san_francisco","but_not_too_serious_about_it","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,5.34710753071747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
23,"athletic","diet_missing","socially","never","working_on_space_camp",67,"missing",2,"kids_missing","straight","pets_missing","religion_missing","sagittarius","sometimes","single",1,"san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,6.43133108193348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,"fit","diet_missing","drinks_missing","never","graduated_from_college_university",74,"missing",3,"doesnt_have_kids","straight","likes_dogs","religion_missing","aries","smokes_missing","single",1,"san_francisco","religion_mod_missing","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,6.83947643822884,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"fit","mostly_anything","socially","sometimes","graduated_from_college_university",68,"missing",63,"kids_missing","straight","likes_dogs","catholicism","scorpio","no","single",1,"san_francisco","but_not_too_serious_about_it","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,1,7.56734567601324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"fit","mostly_anything","socially","never","graduated_from_college_university",69,"missing",28,"kids_missing","straight","likes_dogs","agnosticism","scorpio","no","single",0,"san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,7.57301725605255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
